attending_count,id,interested_count,maybe_count,noreply_count,start_time,contacts
123,1642776422646151,189,189,669,2015-12-04T09:00:00+0100,1170
42,1506726606320873,50,50,223,2015-12-01T20:00:00+0100,365
12,154857504868840,37,37,40,2015-11-26T16:45:00+0100,126
31,1642429642687135,61,61,551,2015-11-25T19:00:00+0100,704
17,103072820053951,24,24,19,2015-11-25T17:30:00+0100,84
33,508341239334468,27,27,52,2015-11-24T19:15:00+0100,139
33,1644386039161095,61,61,93,2015-11-24T19:00:00+0100,248
49,556484824509790,32,32,384,2015-11-24T19:00:00+0100,497
8,1481749855468300,33,33,37,2015-11-23T19:00:00+0100,111
86,1178340518849292,54,54,52,2015-11-22T07:00:00+0100,246
19,766979486765133,14,14,65,2015-11-19T20:00:00+0100,112
9,1629530727307575,29,29,96,2015-11-19T19:00:00+0100,163
27,993644440677667,57,57,184,2015-11-19T16:45:00+0100,325
14,1634295563514336,19,19,125,2015-11-18T17:30:00+0100,177
25,941958735879225,40,40,332,2015-11-18T16:00:00+0000,437
22,1123355244359571,22,22,115,2015-11-17T17:30:00+0100,181
16,432357673619362,14,14,11,2015-11-13T09:00:00+0100,55
36,861405203977267,111,111,10,2015-11-12T20:00:00+0100,268
204,1671853923070712,321,321,96,2015-11-12T19:00:00+0100,942
33,971460612915500,70,70,121,2015-11-12T18:00:00+0100,294
30,1514078265579150,43,43,83,2015-11-12T17:00:00+0100,199
46,1110793138931157,33,33,389,2015-11-07T10:00:00+0000,501
3,522470984604006,15,15,44,2015-11-06T10:00:00+0100,77
23,1067439869962490,22,22,192,2015-11-05T17:30:00+0100,259
26,982148675160229,18,18,343,2015-11-04T19:45:00-0800,405
37,765569653553782,32,32,17,2015-11-04T12:00:00+0100,118
64,731375983659154,55,55,154,2015-11-03T19:30:00+0100,328
220,523388551165769,121,121,963,2015-11-03T19:30:00+0100,1425
70,730365610400964,27,27,237,2015-10-30T08:30:00+0100,361
59,703301003138554,26,26,103,2015-10-24T09:30:00-0400,214
105,1179473768736759,17,17,18,2015-10-23T19:30:00+0200,157
45,1634560746803569,11,11,475,2015-10-22T19:30:00+0200,542
190,678003715668578,65,65,1111,2015-10-22T12:00:00+0200,1431
183,896946677068717,40,40,165,2015-10-17T14:00:00+0200,428
94,1626874910899043,32,32,154,2015-10-15T19:30:00+0200,312
223,765362756925334,66,66,133,2015-10-14T19:00:00+0200,488
130,1126915137336090,23,23,14,2015-10-08T12:00:00+0200,190
66,1619824634946093,4,4,859,2015-10-06T20:00:00+0200,933
146,1634329556822602,39,39,36,2015-10-06T19:00:00+0200,260
35,891068417645818,3,3,37,2015-09-25T15:00:00-0500,78
34,1463377537304665,9,9,116,2015-09-25T19:30:00+0800,168
45,750476875079626,17,17,101,2015-09-24T19:00:00+0200,180
36,393012540869441,6,6,109,2015-09-20T16:00:00+0200,157
157,1529027207387588,19,19,599,2015-09-18T19:00:00+0200,794
5070,866854000070742,478,478,1399,2015-09-16T17:30:00+0200,7425
291,1491194897840232,44,44,321,2015-09-11T08:30:00+0200,700
596,1619117848366543,104,104,1071,2015-09-10T19:00:00+0200,1875
12,1632961896942559,4,4,61,2015-09-10T18:30:00+0200,81
129,1629657243980185,13,13,334,2015-09-10T12:00:00+0200,489
28,863940890348938,12,12,29,2015-09-09T19:00:00+0200,81
122,1635746636708426,30,30,44,2015-09-09T19:00:00+0200,226
98,1483853915240635,24,24,158,2015-09-09T18:30:00+0200,304
70,152986615035493,6,6,53,2015-09-08T19:00:00+0200,135
70,741962675908206,9,9,106,2015-09-03T19:00:00+0200,194
94,1451094165217962,10,10,87,2015-09-02T19:00:00+0200,201
29,1448315258811018,0,0,2,2015-09-02T17:00:00+0200,31
109,1483343301975768,17,17,85,2015-09-01T19:30:00+0200,228
45,115603068785917,6,6,16,2015-08-31T08:30:00+0200,73
64,553929114766022,14,14,198,2015-08-29T12:00:00+0200,290
317,851397988285368,50,50,249,2015-08-12T19:00:00+0200,666
206,125040327834161,30,30,332,2015-07-25T22:00:00+0200,598
37,1466980190284913,6,6,341,2015-07-25T20:00:00+0800,390
564,350768808455772,109,109,726,2015-07-24T12:00:00+0200,1508
63,1087185961311235,25,25,238,2015-07-08T19:00:00+0200,351
51,1661756240726006,4,4,174,2015-06-30T19:00:00+0700,233
22,1617777185135614,8,8,66,2015-06-22T18:00:00+0200,104
80,450650701782344,15,15,74,2015-06-21T19:00:00+0200,184
131,876082162448090,28,28,332,2015-06-09T19:30:00+0200,519
19,485691238245948,5,5,115,2015-06-02T19:00:00+0200,144
23,1631649293720933,4,4,73,2015-06-01T19:00:00+0200,104
17,821470231280517,3,3,20,2015-06-01T08:00:00+0200,43
723,1613564915523901,74,74,618,2015-05-30T09:00:00+0000,1489
50,809878619101043,7,7,203,2015-05-28T12:00:00+0800,267
71,1807039159521773,29,29,411,2015-05-13T19:00:00+0200,540
261,338448596364953,35,35,292,2015-05-13T19:00:00+0200,623
16,1581337642120866,4,4,34,2015-05-01T18:00:00+0100,58
903,405398519644778,51,51,252,2015-05-01T12:00:00+0200,1257
662,704211353021700,109,109,873,2015-04-25T11:00:00+0200,1753
14,1427956947504535,9,9,69,2015-04-01T18:30:00+0100,101
126,232968060206796,34,34,1541,2015-04-01T19:00:00+0200,1735
